hgnc_id	approved_symbol	approved_name	status	previous_symbols	alias_symbols	accession_numbers	refseq_ids	alias_names	ensembl_gene_id	ncbi_gene_id
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved		"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77"	AB014541	NM_004920	"lemur tyrosine kinase 1, ""protein phosphatase 1, regulatory subunit 77"""	ENSG00000181409	9625
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved		AAV	S51329				17
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved		INXS	KC505631	NR_131907	"apoptotic BCL-X-associated long ncRNA, ""intronic BCL-XS-inducing lncRNA"""	ENSG00000281376	103021294
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		"GABAT, GABA-T"	L32961	NM_020686	"4-aminobutyrate transaminase, ""gamma-aminobutyrate aminotransferase"", ""GABA transaminase"""	ENSG00000183044	18
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	"ABC1, HDLDT1"	TGD	AJ012376	NM_005502	Tangier disease	ENSG00000165029	19
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		U18235	NM_001606		ENSG00000107331	20
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	"ABC-C, EST111653, LBM180"	U78735	NM_001089		ENSG00000167972	21
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1	Approved				NG_022511		ENSG00000257408	342293
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	"STGD1, ABCR, RP19, STGD"	"FFM, ARMD2, CORD3"	U88667	NM_000350	Stargardt disease	ENSG00000198691	24
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	U66672	NM_018672		ENSG00000154265	23461
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved		EST155051	U66680	NM_080284		ENSG00000154262	23460
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	AF328787	NM_019112		ENSG00000064687	10347
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	AB020629	NM_007168		ENSG00000141338	10351
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved		EST640918	AF423307	NM_172386		ENSG00000154258	10350
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved						ENSG00000231749	
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved		EST698739	AY247065	NM_080282		ENSG00000154263	10349
HGNC:31	ABCA11P	"ATP binding cassette subfamily A member 11, pseudogene"	Approved	ABCA11	"EST1133530, FLJ14297"	AK024359	NR_002451.2		ENSG00000251595	79963
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	"DKFZP434G232, LI2"	AF418105	NM_173076		ENSG00000144452	26154
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved		"FLJ33876, FLJ33951"	AY204751	NM_152701		ENSG00000179869	154664
HGNC:32972	ABCA17P	"ATP binding cassette subfamily A member 17, pseudogene"	Approved			DQ266102	NR_003574		ENSG00000238098	650655
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	"PGY1, MDR1, CLCS"	"P-gp, CD243, GP170, ABC20, p-170"	M14758	NM_000927	multidrug resistance protein 1	ENSG00000085563	5243
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	"PGY3, MDR3"	"MDR2, PFIC-3, GBD1"	M23234	NM_000443		ENSG00000005471	5244
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved		"EST422562, ABCB5beta, ABCB5alpha"	U66692	NM_178559	"P-glycoprotein ABCB5, ""ATP-binding cassette protein"""	ENSG00000004846	340273
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		"EST45597, umat, MTABC3"	AF070598	NM_005689	ATP-binding cassette half-transporter	ENSG00000115657	10058
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	"EST140535, Atm1p, ASAT"	AF038950	NM_004299		ENSG00000131269	22
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		"EST328128, M-ABC1, MABC1, MITOSUR"	AF047690	NM_007188	mitochondrial ABC protein	ENSG00000197150	11194
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	U66676	NM_019624		ENSG00000150967	23457
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		"EST20237, M-ABC2, MTABC2"	U18237	NM_012089	"ATP-binding cassette sub-family B member 10, mitochondrial, ""ATP-binding cassette transporter 10"", ""ABC transporter 10 protein"", ""mitochondrial ATP-binding cassette 2"""	ENSG00000135776	23456
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	Approved	"ABCB10P, ABCB10P2"	"M-ABC2, MABC2"	AF218417	NG_005041		ENSG00000274099	56476
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	Approved				NG_022122		ENSG00000261524	728248
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	Approved				NG_022102		ENSG00000260053	100132289
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	"BSEP, PFIC2"	"ABC16, SPGP, PFIC-2, PGY4"	AF091582	NM_003742	"ABC member 16, MDR/TAP subfamily"	ENSG00000073734	8647
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	"MRP, MRP1"	GS-X	L05628	NM_004996	glutathione S-conjugate export pump	ENSG00000103222	4363
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	"DJS, MRP2, cMRP"	U63970	NM_000392		ENSG00000023839	1244
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		"MRP3, cMOAT2, EST90757, MLP2, MOAT-D"	Y17151	NM_020038	canalicular multispecific organic anion transporter 2	ENSG00000108846	8714
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		"MRP4, EST170205, MOAT-B, MOATB"	U66682	NM_005845	"canalicular multispecific organic anion transporter (ABC superfamily), ""bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)"", ""multidrug resistance-associated protein 4"", ""multispecific organic anion transporter B"""	ENSG00000125257	10257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		"MRP5, SMRP, EST277145, MOAT-C"	AF104942	NM_005688		ENSG00000114770	10057
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved						ENSG00000223882	
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	"ARA, PXE"	"MRP6, EST349056, MLP1, URG7"	AF076622			ENSG00000091262	368
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved			BC075833	NR_003569		ENSG00000256340	653190
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved				NR_023387		ENSG00000255277	730013
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	"SUR, HRINS"	"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"	L78207	NM_000352	sulfonylurea receptor (hyperinsulinemia)	ENSG00000006071	6833
