entry,entry_id
PAPPA,PAPPA
FEM1A,FEM1A
KIF2B,KIF2B
BBOX1,BBOX1
ADGRF1,ADGRF1
ATP6V1E2,ATP6V1E2
LIPK,LIPK
ZNF705A,ZNF705A
PCDHGB1,PCDHGB1
MARK4,MARK4
SUGP2,SUGP2
LRFN1,LRFN1
PABPN1L,PABPN1L
ZNF219,ZNF219
SPINK2,SPINK2
XPA,XPA
TNFRSF17,TNFRSF17
UBP1,UBP1
NCALD,NCALD
IER5,IER5
SPAM1,SPAM1
RECK,RECK
SUSD2,SUSD2
MPC2,MPC2
SLC39A7,SLC39A7
DUSP15,DUSP15
CDPF1,CDPF1
UBE3C,UBE3C
LMAN2,LMAN2
HGS,HGS
RAPGEF2,RAPGEF2
CDH9,CDH9
ZSWIM6,ZSWIM6
F13B,F13B
UBN1,UBN1
EIF3CL,EIF3CL
KRTAP4-1,KRTAP4-1
MEN1,MEN1
SMIM12,SMIM12
DDX3Y,DDX3Y
ZNF641,ZNF641
CAND2,CAND2
FAM84B,FAM84B
PAM,PAM
IFT140,IFT140
MAPKAPK2,MAPKAPK2
CWF19L2,CWF19L2
KCNN2,KCNN2
FGF7,FGF7
CEBPA,CEBPA
ATF7IP2,ATF7IP2
SBNO1,SBNO1
YPEL1,YPEL1
UBD,UBD
CCDC91,CCDC91
LMF2,LMF2
CEACAM16,CEACAM16
ESPL1,ESPL1
LRAT,LRAT
RTFDC1,RTFDC1
RNF217,RNF217
RNASEK-C17orf49,RNASEK-C17orf49
QRSL1,QRSL1
SPIRE1,SPIRE1
GOLGA4,GOLGA4
IFNA5,IFNA5
IGF2,IGF2
IGKV1-16,IGKV1-16
TBRG4,TBRG4
SLC1A1,SLC1A1
C1orf127,C1orf127
ZNF582,ZNF582
ZIC1,ZIC1
BAP1,BAP1
CCDC129,CCDC129
ENSG00000248751,ENSG00000248751
MRPL22,MRPL22
OR6B2,OR6B2
SGCG,SGCG
GOLGA6D,GOLGA6D
RHBG,RHBG
KRT25,KRT25
GLYATL3,GLYATL3
MRGPRX3,MRGPRX3
NUFIP2,NUFIP2
ALDH3B2,ALDH3B2
TMPRSS15,TMPRSS15
CLDND1,CLDND1
ENSG00000282804,ENSG00000282804
HELB,HELB
NBL1,NBL1
AQP12A,AQP12A
ACYP1,ACYP1
CNOT3,CNOT3
BAMBI,BAMBI
FGF11,FGF11
TAB3,TAB3
NUDCD2,NUDCD2
GRIN2C,GRIN2C
EFCAB3,EFCAB3
GGPS1,GGPS1
UBE2V1,UBE2V1
MMACHC,MMACHC
SETD7,SETD7
BTG3,BTG3
TMEM31,TMEM31
ZEB2,ZEB2
B4GALNT2,B4GALNT2
CLC,CLC
SCARA3,SCARA3
MMP14,MMP14
ATG9A,ATG9A
S100A16,S100A16
EIF3F,EIF3F
OLFM1,OLFM1
DTNA,DTNA
RHOXF1,RHOXF1
TWISTNB,TWISTNB
ATXN3L,ATXN3L
ENSG00000267001,ENSG00000267001
ASIC4,ASIC4
CD55,CD55
MED24,MED24
TTLL4,TTLL4
KRTAP1-1,KRTAP1-1
HLA-F,HLA-F
MAP6,MAP6
DDX21,DDX21
CA13,CA13
BCAS2,BCAS2
VPS18,VPS18
NLRP1,NLRP1
CSF2RA,CSF2RA
C1orf52,C1orf52
OR51M1,OR51M1
MBL2,MBL2
MRPS10,MRPS10
CEP192,CEP192
PRRC2B,PRRC2B
SMG6,SMG6
HGNC:26660,HGNC:26660
KCNH4,KCNH4
CERKL,CERKL
SYNE4,SYNE4
CSN1S1,CSN1S1
DDTL,DDTL
PTP4A1,PTP4A1
SLTM,SLTM
PHYHIPL,PHYHIPL
USP31,USP31
WAS,WAS
WDPCP,WDPCP
GNGT1,GNGT1
C10orf90,C10orf90
ONECUT1,ONECUT1
CD300C,CD300C
RUNDC3B,RUNDC3B
SDK2,SDK2
PIK3C2G,PIK3C2G
HGNC:21911,HGNC:21911
TOX2,TOX2
PPP1R9B,PPP1R9B
PRRG2,PRRG2
BMPR1B,BMPR1B
CUBN,CUBN
TNFRSF21,TNFRSF21
CHMP1A,CHMP1A
CCT5,CCT5
POC5,POC5
PPRC1,PPRC1
PSTPIP2,PSTPIP2
ZNF709,ZNF709
LMLN,LMLN
PQLC2L,PQLC2L
BORA,BORA
RBMX2,RBMX2
ANKUB1,ANKUB1
EXOC4,EXOC4
EPHB3,EPHB3
IL19,IL19
KRT72,KRT72
UBALD2,UBALD2
CPLX1,CPLX1
FABP12,FABP12
CDO1,CDO1
MAFG,MAFG
ZNF512B,ZNF512B
FGF21,FGF21
SKIL,SKIL
TAF1B,TAF1B
ZNF469,ZNF469
PFKFB4,PFKFB4
CCL17,CCL17
AZIN2,AZIN2
GPR55,GPR55
GZMM,GZMM
OR2B3,OR2B3
SPART,SPART
WNK1,WNK1
THOC1,THOC1
GPD2,GPD2
SLC7A14,SLC7A14
ARID4B,ARID4B
FFAR1,FFAR1
FUK,FUK
NRBF2,NRBF2
ADGRL4,ADGRL4
NECTIN3,NECTIN3
CFAP58,CFAP58
DCP1B,DCP1B
ZNF384,ZNF384
NGDN,NGDN
HKR1,HKR1
GCNA,GCNA
MAMDC2,MAMDC2
NSMAF,NSMAF
ARHGAP20,ARHGAP20
TP53RK,TP53RK
SIRT2,SIRT2
SLC27A6,SLC27A6
ENDOG,ENDOG
RBM17,RBM17
RAD51C,RAD51C
LDLR,LDLR
ZFYVE28,ZFYVE28
TRAV1-2,TRAV1-2
PACRG,PACRG
SLAMF9,SLAMF9
SPANXN4,SPANXN4
COMP,COMP
SLC9A2,SLC9A2
PIPOX,PIPOX
MRAP,MRAP
GPR39,GPR39
GULP1,GULP1
CRYGS,CRYGS
MAST2,MAST2
SPRR1B,SPRR1B
