entry,entry_id
IRS2,IRS2
PRKACA,PRKACA
SLCO1B1,SLCO1B1
KMT2C,KMT2C
CRKL,CRKL
ROS1,ROS1
SIRT1,SIRT1
ATRX,ATRX
BCL2L11,BCL2L11
FNTB,FNTB
EZH2,EZH2
TOP2A,TOP2A
EPAS1,EPAS1
DPYD,DPYD
MRE11,MRE11
CBFB,CBFB
PMS2,PMS2
GLI1,GLI1
RASA1,RASA1
FLI1,FLI1
CDH1,CDH1
CDKN1B,CDKN1B
MN1,MN1
UGT1A,UGT1A
ACTL6A,ACTL6A
HLA-DRA,HLA-DRA
TGFBR3,TGFBR3
PALB2,PALB2
HGF,HGF
ERG,ERG
AURKA,AURKA
MSH3,MSH3
RUNX1,RUNX1
KDR,KDR
DROSHA,DROSHA
SLC29A1,SLC29A1
DRD5,DRD5
RABL3,RABL3
MSH6,MSH6
SYK,SYK
SMARCA4,SMARCA4
SMARCB1,SMARCB1
KRT18,KRT18
TF,TF
STAT3,STAT3
FLCN,FLCN
PDGFRB,PDGFRB
POT1,POT1
DCC,DCC
ZRSR2,ZRSR2
PRKN,PRKN
SSX2,SSX2
TSC1,TSC1
EIF1AX,EIF1AX
EPCAM,EPCAM
PSMD4,PSMD4
TCF19,TCF19
FGFR1,FGFR1
ERCC5,ERCC5
RB1,RB1
TYMS,TYMS
HMOX1,HMOX1
STAG3,STAG3
CSF3R,CSF3R
PIK3CB,PIK3CB
PLK1,PLK1
WEE1,WEE1
IDH1,IDH1
SRSF2,SRSF2
POLE,POLE
HDAC2,HDAC2
H3-3B,H3-3B
CDX2,CDX2
MIR218-1,MIR218-1
BRCA2,BRCA2
SSTR5,SSTR5
PRKAA2,PRKAA2
EPHB4,EPHB4
MMP9,MMP9
VPS37A,VPS37A
AGR2,AGR2
LRP1B,LRP1B
RELA,RELA
ERBB3,ERBB3
LYN,LYN
PTPRF,PTPRF
AREG,AREG
PPP2R1A,PPP2R1A
MAP2K7,MAP2K7
HLA-C,HLA-C
SOX10,SOX10
CDKN2B,CDKN2B
HSPH1,HSPH1
PTCH1,PTCH1
POLD1,POLD1
TSPYL1,TSPYL1
NF1,NF1
CDK5,CDK5
STK11,STK11
CHEK2,CHEK2
JAK1,JAK1
ABCC3,ABCC3
RSF1,RSF1
CEACAM1,CEACAM1
TFE3,TFE3
KIF23,KIF23
CHD7,CHD7
IL2RB,IL2RB
STMN1,STMN1
HMGA2,HMGA2
HSPB1,HSPB1
SDHA,SDHA
PAX5,PAX5
UGT1A1,UGT1A1
NBN,NBN
TUBB3,TUBB3
CRLF2,CRLF2
PTPN12,PTPN12
NF2,NF2
MYCL,MYCL
WNT11,WNT11
FBXW7,FBXW7
MYD88,MYD88
B4GALT1,B4GALT1
ESR2,ESR2
ABL2,ABL2
CTNNB1,CTNNB1
PTP4A3,PTP4A3
CXCR4,CXCR4
PAPPA2,PAPPA2
ECSCR,ECSCR
MTOR,MTOR
NECTIN4,NECTIN4
ETV6,ETV6
TNC,TNC
LAG3,LAG3
DLL3,DLL3
MAPK1,MAPK1
VEGFC,VEGFC
PROM1,PROM1
ETV4,ETV4
CYSLTR2,CYSLTR2
THBS2,THBS2
ROBO4,ROBO4
DDX41,DDX41
ERCC2,ERCC2
FCGR2A,FCGR2A
PTPN6,PTPN6
GATA2,GATA2
MPL,MPL
PML,PML
CSF1,CSF1
BRAF,BRAF
BTK,BTK
GAS6,GAS6
CDK12,CDK12
MDM2,MDM2
SH2B3,SH2B3
CIC,CIC
CCND3,CCND3
FOXC2,FOXC2
ALCAM,ALCAM
CCNE2,CCNE2
CRBN,CRBN
IGF1R,IGF1R
HAVCR2,HAVCR2
RAD50,RAD50
NOTCH1,NOTCH1
DNMT3A,DNMT3A
NT5C2,NT5C2
KLLN,KLLN
ACVR1,ACVR1
TET2,TET2
DGKH,DGKH
XRCC1,XRCC1
EGFR,EGFR
KLF4,KLF4
