entry,entry_id
UPF2,HGNC:17854
SETD5,HGNC:25566
TRPM1,HGNC:7146
ASXL3,HGNC:29357
TMEM135,HGNC:26167
MSH2,HGNC:7325
STIM1,HGNC:11386
MAPKBP1,HGNC:29536
PRPS1,HGNC:9462
ABCG8,HGNC:13887
CLN8,HGNC:2079
TYR,HGNC:12442
NF2,HGNC:7773
AP5Z1,HGNC:22197
F11,HGNC:3529
FXYD2,HGNC:4026
NRAS,HGNC:7989
SOD1,HGNC:11179
TNNT2,HGNC:11949
ACP5,HGNC:124
CHD3,HGNC:1918
LMBR1,HGNC:13243
NFIA,HGNC:7784
TFAP2B,HGNC:11743
POR,HGNC:9208
HSD17B3,HGNC:5212
RAB7A,HGNC:9788
MORC2,HGNC:23573
PAH,HGNC:8582
EN2,HGNC:3343
APC,HGNC:583
COL7A1,HGNC:2214
HAAO,HGNC:4796
EPHX1,HGNC:3401
SEPSECS,HGNC:30605
TACSTD2,HGNC:11530
SEM1,HGNC:10845
GALT,HGNC:4135
GATM,HGNC:4175
ACTC1,HGNC:143
RAB39B,HGNC:16499
ANKRD1,HGNC:15819
NQO1,HGNC:2874
SNTA1,HGNC:11167
NLGN1,HGNC:14291
DMRT2,HGNC:2935
ADD1,HGNC:243
APOL1,HGNC:618
CEP152,HGNC:29298
NAT2,HGNC:7646
SQSTM1,HGNC:11280
BCR,HGNC:1014
TBX4,HGNC:11603
AGPS,HGNC:327
ALDH7A1,HGNC:877
GTPBP3,HGNC:14880
TRPV4,HGNC:18083
OCLN,HGNC:8104
ROBO1,HGNC:10249
GABRD,HGNC:4084
PHF21A,HGNC:24156
ASH1L,HGNC:19088
PLOD1,HGNC:9081
TSEN2,HGNC:28422
SPG7,HGNC:11237
FARS2,HGNC:21062
USH2A,HGNC:12601
GALK1,HGNC:4118
LAMC3,HGNC:6494
AR,HGNC:644
ARHGEF10,HGNC:14103
GRIN2B,HGNC:4586
CFB,HGNC:1037
MEF2C,HGNC:6996
TGFB2,HGNC:11768
COX14,HGNC:28216
TRDN,HGNC:12261
FGA,HGNC:3661
RAI1,HGNC:9834
TUBB1,HGNC:16257
DSE,HGNC:21144
TMEM43,HGNC:28472
DMD,HGNC:2928
TNNT3,HGNC:11950
NARS2,HGNC:26274
SNAP29,HGNC:11133
TSFM,HGNC:12367
ODAD3,HGNC:28303
STK11,HGNC:11389
SERPINB6,HGNC:8950
SUCLA2,HGNC:11448
SLC28A3,HGNC:16484
ABAT,HGNC:23
BCAT2,HGNC:977
PCDHGA8,HGNC:8706
MID1,HGNC:7095
TRPM4,HGNC:17993
PEX19,HGNC:9713
SERPING1,HGNC:1228
ZMYND11,HGNC:16966
ASB10,HGNC:17185
KITLG,HGNC:6343
SF3B4,HGNC:10771
PCDH15,HGNC:14674
LIMK1,HGNC:6613
CC2D1A,HGNC:30237
CIC,HGNC:14214
PAX1,HGNC:8615
EXT2,HGNC:3513
POLD1,HGNC:9175
SLC25A1,HGNC:10979
WARS1,HGNC:12729
ORC6,HGNC:17151
ATL1,HGNC:11231
FREM1,HGNC:23399
POLH,HGNC:9181
EIF2AK4,HGNC:19687
EXO1,HGNC:3511
CFI,HGNC:5394
ECHS1,HGNC:3151
DOCK8,HGNC:19191
SLC25A13,HGNC:10983
FASTKD2,HGNC:29160
IFNL4,HGNC:44480
TRAPPC10,HGNC:11868
ACADL,HGNC:88
OPRM1,HGNC:8156
CARD11,HGNC:16393
FAH,HGNC:3579
UBN2,HGNC:21931
FXN,HGNC:3951
PROP1,HGNC:9455
UMPS,HGNC:12563
SET,HGNC:10760
ARHGEF6,HGNC:685
GJA8,HGNC:4281
ELN,HGNC:3327
MMACHC,HGNC:24525
ORAI1,HGNC:25896
NIPA1,HGNC:17043
EFHC1,HGNC:16406
SLC38A8,HGNC:32434
TBC1D20,HGNC:16133
PCSK9,HGNC:20001
ZEB2,HGNC:14881
KIF21A,HGNC:19349
CDC45,HGNC:1739
GPD1L,HGNC:28956
RYR1,HGNC:10483
DNAJC19,HGNC:30528
MYOM1,HGNC:7613
BRD4,HGNC:13575
HBA2,HGNC:4824
CHRNA5,HGNC:1959
GMPPA,HGNC:22923
STAT3,HGNC:11364
TOPBP1,HGNC:17008
FECH,HGNC:3647
ETFA,HGNC:3481
KIF5C,HGNC:6325
MT-ND4L,HGNC:7460
KRIT1,HGNC:1573
CHD7,HGNC:20626
CHRDL1,HGNC:29861
DOCK7,HGNC:19190
NSUN2,HGNC:25994
TMEM127,HGNC:26038
MTHFR,HGNC:7436
TSPAN12,HGNC:21641
TRNT1,HGNC:17341
HPRT1,HGNC:5157
PROC,HGNC:9451
LRRC56,HGNC:25430
MT-TR,HGNC:7496
HPS5,HGNC:17022
CLASP1,HGNC:17088
SELENON,HGNC:15999
HYMAI,HGNC:5326
ZIC3,HGNC:12874
SDCCAG8,HGNC:10671
MCM3AP,HGNC:6946
CABP2,HGNC:1385
CYP24A1,HGNC:2602
EFNB1,HGNC:3226
ABCA4,HGNC:34
RRAS2,HGNC:17271
HSD17B13,HGNC:18685
CHMP2B,HGNC:24537
PTCD3,HGNC:24717
DNMT1,HGNC:2976
PCDH19,HGNC:14270
COL11A2,HGNC:2187
ATP13A2,HGNC:30213
SERPINC1,HGNC:775
KMT2D,HGNC:7133
CAMK2A,HGNC:1460
TPSD1,HGNC:14118
DPYD,HGNC:3012
PLEC,HGNC:9069
MNX1,HGNC:4979
FRAS1,HGNC:19185
CHMP1A,HGNC:8740
FBXW4,HGNC:10847
SLC6A19,HGNC:27960
CACNA1H,HGNC:1395
KANK1,HGNC:19309
PROK2,HGNC:18455
SRPX2,HGNC:30668
KDSR,HGNC:4021
RPL10,HGNC:10298
LARGE1,HGNC:6511
MME,HGNC:7154
CDH1,HGNC:1748
MMUT,HGNC:7526
ATG5,HGNC:589
RASGRP2,HGNC:9879
SLMAP,HGNC:16643
FDPS,HGNC:3631
AK7,HGNC:20091
SLC25A19,HGNC:14409
AARS1,HGNC:20
PAK2,HGNC:8591
DDC,HGNC:2719
ZNF81,HGNC:13156
TIMMDC1,HGNC:1321
TRIM8,HGNC:15579
CSPP1,HGNC:26193
CNGB3,HGNC:2153
CA5A,HGNC:1377
DAO,HGNC:2671
ESCO2,HGNC:27230
TGFB3,HGNC:11769
SNORD64,HGNC:32725
SNORD108,HGNC:32772
PSEN2,HGNC:9509
WT1,HGNC:12796
CDIN1,HGNC:26929
TMC6,HGNC:18021
PDHX,HGNC:21350
FGD4,HGNC:19125
ZMIZ1,HGNC:16493
ARHGAP31,HGNC:29216
MYO5B,HGNC:7603
OBSL1,HGNC:29092
ITGA2B,HGNC:6138
KCNC1,HGNC:6233
WRN,HGNC:12791
VPS53,HGNC:25608
NBEA,HGNC:7648
ABCG5,HGNC:13886
GAA,HGNC:4065
ATP13A3,HGNC:24113
MT-TG,HGNC:7486
PNKP,HGNC:9154
GTF2H5,HGNC:21157
TNRC6B,HGNC:29190
TSPEAR,HGNC:1268
SPATA7,HGNC:20423
NCF2,HGNC:7661
CACNA1B,HGNC:1389
AP3D1,HGNC:568
FYCO1,HGNC:14673
EPCAM,HGNC:11529
INO80,HGNC:26956
MBD5,HGNC:20444
KLLN,HGNC:37212
PNPO,HGNC:30260
MMAB,HGNC:19331
ATP6V0A2,HGNC:18481
CYP3A4,HGNC:2637
CYC1,HGNC:2579
DNAH11,HGNC:2942
CPA6,HGNC:17245
ANKK1,HGNC:21027
OSBPL2,HGNC:15761
GLB1,HGNC:4298
POLD2,HGNC:9176
WWOX,HGNC:12799
HNRNPR,HGNC:5047
AICDA,HGNC:13203
SNRPN,HGNC:11164
SLC26A4,HGNC:8818
FOXP1,HGNC:3823
SLC39A7,HGNC:4927
S1PR2,HGNC:3169
SOX6,HGNC:16421
VKORC1,HGNC:23663
NEK1,HGNC:7744
AP1S2,HGNC:560
KMT2E,HGNC:18541
CENPP,HGNC:32933
PIGL,HGNC:8966
GRIN3B,HGNC:16768
PDE6C,HGNC:8787
CUX2,HGNC:19347
CPS1,HGNC:2323
FOXG1,HGNC:3811
MYO1E,HGNC:7599
PPP1CB,HGNC:9282
TGM5,HGNC:11781
CEP164,HGNC:29182
RPL5,HGNC:10360
EPB42,HGNC:3381
CDC42BPB,HGNC:1738
ABHD5,HGNC:21396
STX11,HGNC:11429
SERPINE1,HGNC:8583
SLC6A6,HGNC:11052
HBB,HGNC:4827
NDUFA12,HGNC:23987
TYRP1,HGNC:12450
PRSS12,HGNC:9477
PTGFR,HGNC:9600
SLC52A1,HGNC:30225
AQP1,HGNC:633
RAB27A,HGNC:9766
XRCC4,HGNC:12831
VPS26C,HGNC:3044
CDT1,HGNC:24576
STAT1,HGNC:11362
TRIP4,HGNC:12310
COL6A2,HGNC:2212
GNS,HGNC:4422
SRCAP,HGNC:16974
PAX5,HGNC:8619
NRXN1,HGNC:8008
POMGNT1,HGNC:19139
PPP2R1A,HGNC:9302
TPK1,HGNC:17358
SEC23B,HGNC:10702
BRCA2,HGNC:1101
RPH3A,HGNC:17056
COL6A3,HGNC:2213
MAP3K20,HGNC:17797
GNMT,HGNC:4415
BMPR2,HGNC:1078
RYR3,HGNC:10485
BLNK,HGNC:14211
ABCD1,HGNC:61
HGSNAT,HGNC:26527
MEFV,HGNC:6998
CCNF,HGNC:1591
AKT3,HGNC:393
KCNQ1,HGNC:6294
NUDT13,HGNC:18827
TPRN,HGNC:26894
DDB2,HGNC:2718
HCN4,HGNC:16882
ALAD,HGNC:395
ETFB,HGNC:3482
RELB,HGNC:9956
TARS2,HGNC:30740
LEPR,HGNC:6554
DSCAM,HGNC:3039
PITX2,HGNC:9005
SIGLEC5,HGNC:10874
ZNF407,HGNC:19904
RAP1B,HGNC:9857
GPT2,HGNC:18062
KIFBP,HGNC:23419
PKHD1,HGNC:9016
MARVELD2,HGNC:26401
UROC1,HGNC:26444
CLCF1,HGNC:17412
ADORA2A,HGNC:263
CFAP53,HGNC:26530
CAPN5,HGNC:1482
PTEN,HGNC:9588
ZNF292,HGNC:18410
ATP1A3,HGNC:801
PUS1,HGNC:15508
MTR,HGNC:7468
BLM,HGNC:1058
FLAD1,HGNC:24671
ASAH1,HGNC:735
CR2,HGNC:2336
RHBDF2,HGNC:20788
CRYGC,HGNC:2410
ZMYND15,HGNC:20997
C8orf34,HGNC:30905
BAP1,HGNC:950
TGFBR2,HGNC:11773
ARMC9,HGNC:20730
SLC6A4,HGNC:11050
